0,-0,0,0
6.0762,-2.6974,5.9551e-08,1.4683e-09
25.533,-11.396,5.985e-07,2.8306e-08
59.883,-26.881,2.3272e-06,1.6177e-07
110.16,-49.756,6.0737e-06,5.6171e-07
176.88,-80.437,1.263e-05,1.4703e-06
260,-119.14,2.2657e-05,3.2031e-06
358.93,-165.87,3.6653e-05,6.1333e-06
472.52,-220.43,5.4952e-05,1.0676e-05
599.08,-282.42,7.7726e-05,1.7272e-05
736.41,-351.22,0.00010497,2.6369e-05
881.9,-426.05,0.00013652,3.8407e-05
1032.5,-505.92,0.00017197,5.3799e-05
1185,-589.67,0.00021076,7.2909e-05
1335.8,-676.01,0.00025212,9.6033e-05
1481.4,-763.49,0.00029512,0.00012338
1618.1,-850.56,0.00033867,0.00015507
1742.5,-935.55,0.00038158,0.00019109
1851,-1016.7,0.00042257,0.00023131
1940.4,-1092.3,0.00046032,0.00027549
2007.9,-1160.4,0.00049351,0.00032322
2050.8,-1219.1,0.00052084,0.00037399
2066.6,-1266.6,0.00054104,0.00042714
2053.1,-1300.9,0.00055298,0.00048192
2008.3,-1320.1,0.0005556,0.00053742
1930.6,-1322.3,0.00054797,0.00059269
1818,-1305.5,0.00052931,0.00064665
1669,-1268,0.00049895,0.00069816
1481.6,-1207.9,0.00045639,0.00074603
1254,-1123.3,0.00040122,0.00078902
984.05,-1012.5,0.00033316,0.00082585
669.25,-873.75,0.00025198,0.00085522
306.89,-705.41,0.00015755,0.00087581
-106.12,-505.89,4.9747e-05,0.0008863
-573.19,-273.69,-7.1514e-05,0.00088533
-1098,-7.4168,-0.00020634,0.00087156
-1684.7,294.19,-0.00035486,0.00084363
-2337.4,632.26,-0.00051725,0.00080015
-3060.4,1007.7,-0.00069371,0.00073973
-3858,1421.3,-0.00088452,0.00066096
-4734.4,1873.5,-0.00109,0.00056237
-5693.5,2364.6,-0.0013104,0.0004425
-6738.6,2894.4,-0.0015461,0.00029982
-7872.6,3462.7,-0.0017973,0.0001328
-9097.4,4068.6,-0.0020644,-6.0134e-05
-10414,4711,-0.0023474,-0.00028057
-11822,5388.2,-0.0026462,-0.00053009
-13319,6098.3,-0.0029605,-0.00081028
-14903,6838.7,-0.0032899,-0.0011227
-16569,7606.4,-0.0036333,-0.0014687
-18308,8397.7,-0.0039896,-0.0018497
-20113,9208.6,-0.0043569,-0.0022669
-21973,10034,-0.004733,-0.0027213
-23874,10870,-0.0051153,-0.0032137
-25801,11709,-0.0055003,-0.0037444
-27737,12546,-0.0058842,-0.0043136
-29663,13375,-0.0062626,-0.004921
-31558,14186,-0.0066303,-0.0055658
