0,-0,0,0
6.8245,-2.9562,6.7043e-08,1.66e-09
28.169,-12.297,6.661e-07,3.1642e-08
64.779,-28.528,2.5565e-06,1.7898e-07
116.64,-51.873,6.5771e-06,6.1469e-07
182.97,-82.27,1.3461e-05,1.5899e-06
262.28,-119.36,2.3728e-05,3.4191e-06
352.39,-162.51,3.7652e-05,6.4565e-06
450.55,-210.79,5.5276e-05,1.1072e-05
553.49,-263.04,7.6417e-05,1.7627e-05
657.6,-317.81,0.00010068,2.6458e-05
758.95,-373.49,0.00012747,3.7846e-05
853.5,-428.22,0.00015597,5.2006e-05
937.11,-480.02,0.00018519,6.9061e-05
1005.7,-526.75,0.00021395,8.9025e-05
1055.4,-566.17,0.00024098,0.00011179
1082.3,-595.97,0.00026489,0.00013711
1082.8,-613.8,0.00028426,0.00016461
1053.8,-617.3,0.00029765,0.00019376
991.91,-604.11,0.00030365,0.00022389
894.35,-571.93,0.00030089,0.00025419
758.35,-518.53,0.00028811,0.00028373
581.29,-441.79,0.00026413,0.00031144
360.65,-339.72,0.00022788,0.00033615
93.966,-210.48,0.00017843,0.00035658
-221.21,-52.427,0.00011499,0.00037137
-587.31,135.87,3.6885e-05,0.00037909
-1006.8,355.59,-5.6428e-05,0.00037825
-1482,607.64,-0.00016536,0.00036729
-2015.4,892.62,-0.0002902,0.00034465
-2609.2,1210.8,-0.00043112,0.00030873
-3265.3,1562,-0.00058817,0.00025791
-3985.5,1945.8,-0.00076129,0.00019058
-4770.9,2361.2,-0.00095028,0.00010515
-5622.2,2806.9,-0.0011548,3.1755e-08
-6538.9,3280.8,-0.0013744,-0.00012629
-7519.8,3780.5,-0.0016082,-0.00027529
-8562.5,4303.2,-0.0018556,-0.00044835
-9662.8,4845.2,-0.0021151,-0.00064677
-10815,5402.5,-0.0023855,-0.0008717
-12012,5970.2,-0.0026648,-0.0011241
-13245,6543.3,-0.0029509,-0.0014048
-14501,7115.6,-0.003241,-0.0017144
-15768,7680.9,-0.0035322,-0.002053
-17030,8232.2,-0.0038207,-0.0024207
-18269,8762,-0.0041025,-0.0028169
-19465,9262.4,-0.0043728,-0.0032408
-20598,9725.1,-0.0046265,-0.0036909
-21645,10142,-0.0048579,-0.0041653
-22582,10503,-0.005061,-0.0046615
-23384,10801,-0.0052293,-0.0051763
-24028,11026,-0.0053562,-0.0057059
-24489,11169,-0.0054349,-0.0062459
-24743,11223,-0.0054584,-0.006791
-24768,11177,-0.0054202,-0.0073355
-24543,11026,-0.0053138,-0.0078728
-24049,10761,-0.0051333,-0.0083958
-23269,10377,-0.0048734,-0.0088968
-22190,9866,-0.0045295,-0.0093677
-20799,9224.7,-0.004098,-0.0097999
-19088,8448.6,-0.0035762,-0.010184
-17051,7534.8,-0.0029627,-0.010512
-14687,6481.5,-0.0022571,-0.010774
-11994,5287.8,-0.0014603,-0.010961
-8976.2,3954.5,-0.00057469,-0.011063
-5640.2,2483.3,0.0003963,-0.011073
-1994.7,877.23,0.0014479,-0.010981
1948.3,-859.13,0.0025739,-0.010781
6173.8,-2720,0.0037673,-0.010465
10664,-4698.1,0.0050196,-0.010026
15398,-6784.8,0.0063216,-0.0094592
20352,-8970.1,0.0076627,-0.0087604
25500,-11243,0.0090319,-0.007926
30810,-13589,0.010417,-0.0069537
36251,-15996,0.011806,-0.0058427
41786,-18448,0.013184,-0.0045932
47375,-20928,0.014539,-0.0032069
52977,-23419,0.015856,-0.0016869
58548,-25901,0.01712,-3.773e-05
